clean_id,original_id,R0,sigma,distance,avg_prev_obs,var_prev_obs,avg_npmi_obs,div_all_isolates_obs,avg_prev_obs_diff,avg_prev_obs_diff_pct,var_prev_obs_diff,var_prev_obs_diff_pct,avg_npmi_obs_diff,avg_npmi_obs_diff_pct,div_all_isolates_obs_diff,div_all_isolates_obs_diff_pct
Observation,N/A,,,,9.565217391304348,7.06351758208409,-0.595276743372485,18.333333333333332,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
908653,908658,1.5739653,0.975397,0.02618595654538,11.73913043478261,7.4785596042915055,-0.6043716769883775,12.85031847133758,2.1739130434782616,22.727272727272734,0.41504202220741515,5.875854592053794,-0.00909493361589242,1.5278496459253421,-5.483014861995752,-29.907353792704107
815086,815090,1.5440872,0.94980776,0.0285066448749437,12.26086956521739,7.545121188883629,-0.5407293387001321,13.246740220661986,2.695652173913043,28.18181818181818,0.4816036067995384,6.818183733570339,0.05454740467235297,-9.163369017798297,-5.086593112671347,-27.74505334184371
509284,509288,1.5299675,0.9285439,0.0283593099577999,11.73913043478261,7.823143934996209,-0.5533128199665739,12.81856689022238,2.1739130434782616,22.727272727272734,0.759626352912119,10.754221874365198,0.04196392340591115,-7.049481417360344,-5.514766443110952,-30.080544235150654
282713,282716,1.4921814,0.93065673,0.0280561473247045,9.434782608695652,7.165739744573237,-0.5859197768932802,11.454545454545455,-0.13043478260869534,-1.3636363636363604,0.10222216248914684,1.4471849372672787,0.009356966479204809,-1.571868308879965,-6.878787878787877,-37.52066115702479
66324,66324,1.6383742,0.98151654,0.0274385992079109,10.130434782608695,6.326742288428518,-0.5410518539411465,12.478301015697138,0.5652173913043477,5.909090909090907,-0.7367752936555725,-10.430713664878951,0.05422488943133852,-9.109189975091661,-5.855032317636194,-31.936539914379242
398855,398859,1.4759564,0.9512095,0.0228865664015333,11.217391304347826,7.096455720602109,-0.551425525234804,13.648826677645122,1.6521739130434785,17.272727272727277,0.03293813851801897,0.46631353479693005,0.043851218137681,-7.366526346930001,-4.68450665568821,-25.551854485572058
292469,292472,1.4669973,0.9892459,0.0226418931087321,9.956521739130435,6.615946718961866,-0.5890414645297452,12.949404761904763,0.3913043478260878,4.0909090909091,-0.44757086312222416,-6.3363735974473,0.006235278842739889,-1.0474588352661816,-5.383928571428569,-29.36688311688311
970103,970108,1.4741672,0.8487252,0.0212657070605265,10.565217391304348,6.807923772117056,-0.5957893941423326,13.358927760109042,1.0,10.454545454545455,-0.25559380996703407,-3.618506034660724,-0.0005126507698475224,0.08611973767749553,-4.97440557322429,-27.13312130849613
184059,184060,1.5560668,0.99577624,0.0223361853884115,12.08695652173913,7.591341021059699,-0.5369263259408213,15.594572701498583,2.521739130434783,26.363636363636374,0.5278234389756085,7.472529555449542,0.05835041743166369,-9.802233680604559,-2.738760631834749,-14.938694355462268
527785,527789,1.508699,0.9807886,0.0239351802677647,10.0,6.388910847568764,-0.565221044190313,12.979300147856087,0.43478260869565233,4.545454545454547,-0.6746067345153266,-9.55057769271219,0.03005569918217199,-5.049029634837441,-5.354033185477245,-29.20381737533043
