sigma_true,n_R0_values,R0_bias_mean,R0_bias_sd,R0_sd_mean,sigma_bias_mean,sigma_bias_sd,sigma_sd_mean
0.5,10,0.028994974874371814,0.034943236426745884,0.1785588979500523,0.021206030150753823,0.04847523727598235,0.1105203082892509
0.6,10,-0.00952261306532649,0.054570701068575075,0.19434866126478711,0.004422110552763902,0.046956846592312876,0.11415775709981306
0.7,10,-0.007788944723618241,0.0666427783097632,0.2325194802236496,-0.02484422110552752,0.03349714552520304,0.12350003372536848
0.8,10,0.004572864321607972,0.04952303161156597,0.2443961434044522,-0.023417085427135644,0.03515018603801004,0.10725502741897733
0.9,10,-0.01819095477386934,0.09437706801565451,0.25972013737448363,-0.056180904522613005,0.047887405387497146,0.10695459474519961
0.94,10,-0.07608040201005031,0.05361583765414573,0.22836415103423438,-0.08164824120603002,0.06393364643051891,0.09502761290212255
0.975,10,-0.05391959798994968,0.06212364273114716,0.19234727213448194,-0.08320100502512552,0.06959284691755419,0.06786130043900863
