R0_true,sigma_true,n_seeds,R0_mean,R0_bias,R0_sd,sigma_mean,sigma_bias,sigma_sd,source_file
1.2,0.94,20,1.1786432160804021,-0.021356783919597833,0.08129749602345222,0.7083417085427136,-0.23165829145728634,0.18012220275811258,peak_estimates_sigma0p94_R01p2.csv
1.4,0.94,20,1.3489949748743721,-0.05100502512562777,0.05517952130054353,0.8373869346733669,-0.10261306532663306,0.08441178259516523,peak_estimates_sigma0p94_R01p4.csv
1.6,0.94,20,1.5329145728643216,-0.06708542713567844,0.09127829644491868,0.8203015075376884,-0.11969849246231157,0.12468179932361824,peak_estimates_sigma0p94_R01p6.csv
1.8,0.94,20,1.7258793969849247,-0.07412060301507539,0.13477394034813678,0.8536683417085428,-0.08633165829145717,0.11538679970333272,peak_estimates_sigma0p94_R01p8.csv
2.0,0.94,20,1.8638190954773868,-0.13618090452261322,0.1796505068446308,0.848241206030151,-0.09175879396984898,0.10714172206766238,peak_estimates_sigma0p94_R02p0.csv
2.2,0.94,20,2.105778894472362,-0.0942211055276383,0.24285053327269782,0.877788944723618,-0.06221105527638193,0.09161113687489879,peak_estimates_sigma0p94_R02p2.csv
2.4,0.94,20,2.2535175879396983,-0.14648241206030166,0.3549426133485687,0.8791959798994977,-0.06080402010050223,0.10522398093950168,peak_estimates_sigma0p94_R02p4.csv
2.6,0.94,20,2.5007537688442207,-0.09924623115577935,0.28319732683292675,0.9091457286432162,-0.030854271356783758,0.05456871917832571,peak_estimates_sigma0p94_R02p6.csv
2.8,0.94,20,2.8331658291457282,0.03316582914572841,0.5136211982998176,0.9187939698492464,-0.021206030150753508,0.0546808340031981,peak_estimates_sigma0p94_R02p8.csv
3.0,0.94,20,2.8957286432160805,-0.10427135678391952,0.3468500776266509,0.9306532663316582,-0.009346733668341711,0.03244715157741005,peak_estimates_sigma0p94_R03p0.csv
