w1,w2,w3,w4,score,n_selected,threshold
0.9,0.1,0.1,0.9,0.15304478,50000,0.03076458977626226
0.8,0.1,0.1,0.9,0.15379569,50000,0.030866151059033314
0.9,0.1,0.1,0.8,0.15399587,50000,0.03084096009289851
0.8,0.1,0.1,0.8,0.15440121,50000,0.030997812000356065
0.7,0.1,0.1,0.9,0.15465894,50000,0.030935671735886582
0.9,0.1,0.1,0.7,0.15507956,50000,0.03090276906609194
0.7,0.1,0.1,0.8,0.15525538,50000,0.031118684428270343
0.8,0.1,0.1,0.7,0.15528616,50000,0.031079747379586492
0.7,0.1,0.1,0.7,0.15602785,50000,0.03126805804414085
0.6,0.1,0.1,0.9,0.15631363,50000,0.03095407354128194
0.6,0.1,0.1,0.8,0.15664695,50000,0.031195325444905178
0.8,0.1,0.1,0.6,0.15682243,50000,0.031142305251581393
0.9,0.1,0.1,0.6,0.15683027,50000,0.030897067975700392
0.7,0.1,0.1,0.6,0.15714866,50000,0.031376937092727056
0.6,0.1,0.1,0.7,0.15734139,50000,0.031427410249550536
0.9,0.2,0.1,0.9,0.15802065,50000,0.031161824923715747
0.9,0.1,0.2,0.9,0.15806428,50000,0.03191004441160438
0.6,0.1,0.1,0.6,0.15808557,50000,0.03159965907567094
0.5,0.1,0.1,0.9,0.15874648,50000,0.03091319684949603
0.8,0.2,0.1,0.9,0.1588221,50000,0.03131032932789515
0.5,0.1,0.1,0.8,0.15883796,50000,0.031226996593294615
0.9,0.1,0.1,0.5,0.15884884,50000,0.030833859681324294
0.9,0.2,0.1,0.8,0.15886852,50000,0.031218449697877477
0.8,0.1,0.1,0.5,0.15890267,50000,0.03113055175730331
0.9,0.1,0.2,0.8,0.15907595,50000,0.032044941197404475
0.7,0.1,0.1,0.5,0.15908206,50000,0.03142860552204153
0.8,0.1,0.2,0.9,0.15914628,50000,0.032034661556061036
0.5,0.1,0.1,0.7,0.15927976,50000,0.031505307498009026
0.6,0.1,0.1,0.5,0.15961435,50000,0.03173054009182793
0.8,0.2,0.1,0.8,0.15967418,50000,0.03139310280749442
0.5,0.1,0.1,0.6,0.15978286,50000,0.03179531350714916
0.8,0.1,0.2,0.8,0.15997526,50000,0.0321897383294486
0.9,0.2,0.1,0.7,0.1602159,50000,0.031237890277732012
0.7,0.2,0.1,0.9,0.160297,50000,0.03142009101604751
0.8,0.2,0.1,0.7,0.1606572,50000,0.03145366761885111
0.9,0.1,0.2,0.7,0.16071609,50000,0.03214648726075161
0.7,0.2,0.1,0.8,0.16073748,50000,0.031559066439067425
0.7,0.1,0.2,0.9,0.16083826,50000,0.03210045875480926
0.5,0.1,0.1,0.5,0.1608395,50000,0.0320165963353722
0.8,0.1,0.2,0.7,0.16136193,50000,0.032327767908738564
0.7,0.1,0.2,0.8,0.16145056,50000,0.03231187587848428
0.8,0.1,0.1,0.4,0.16177323,50000,0.031020481442162715
0.7,0.2,0.1,0.7,0.16181007,50000,0.0316705704019082
0.7,0.1,0.1,0.4,0.16186596,50000,0.03139857642302269
0.9,0.2,0.1,0.6,0.16215503,50000,0.03121906310880496
0.6,0.1,0.1,0.4,0.16215685,50000,0.03176469336212895
0.9,0.3,0.1,0.9,0.16216496,50000,0.03140249884039929
0.6,0.2,0.1,0.9,0.16225874,50000,0.031502074939724484
0.9,0.1,0.1,0.4,0.16233338,50000,0.030652334769305446
0.4,0.1,0.1,0.8,0.1623787,50000,0.031147831232222947
0.7,0.1,0.2,0.7,0.16240764,50000,0.03249011994856644
0.9,0.1,0.2,0.6,0.16241407,50000,0.0321776592945727
0.4,0.1,0.1,0.7,0.16244827,50000,0.03152192845706645
0.8,0.2,0.1,0.6,0.16248578,50000,0.03144912105141778
0.6,0.2,0.1,0.8,0.16249196,50000,0.03169212375015161
0.4,0.1,0.1,0.9,0.16253364,50000,0.030759921674400118
0.9,0.2,0.2,0.9,0.1627298,50000,0.03226700421755693
0.4,0.1,0.1,0.6,0.16288762,50000,0.03188155248964053
0.6,0.1,0.2,0.9,0.16297515,50000,0.03213460968455825
0.8,0.1,0.2,0.6,0.16302754,50000,0.032444199400267326
0.9,0.1,0.3,0.9,0.16306251,50000,0.03265755867527273
0.5,0.1,0.1,0.4,0.16310379,50000,0.03215263205701274
0.9,0.3,0.1,0.8,0.16316122,50000,0.031451162193922466
0.8,0.3,0.1,0.9,0.16318682,50000,0.031557556027956166
0.6,0.2,0.1,0.7,0.1632708,50000,0.031860377349715786
0.7,0.2,0.1,0.6,0.16328768,50000,0.031724274960259174
0.6,0.1,0.2,0.8,0.16341016,50000,0.032385403666835746
0.4,0.1,0.1,0.5,0.16346282,50000,0.03222809364850169
0.9,0.2,0.2,0.8,0.16401985,50000,0.032361315220850825
0.8,0.2,0.2,0.9,0.16406478,50000,0.0323980651967668
0.7,0.1,0.2,0.6,0.16407683,50000,0.032643982446228674
0.6,0.1,0.2,0.7,0.1641066,50000,0.03262471244252519
0.8,0.3,0.1,0.8,0.16420463,50000,0.03162495697540917
0.9,0.2,0.1,0.5,0.16429386,50000,0.0311124285911523
0.9,0.1,0.3,0.8,0.16432028,50000,0.032788527067410325
0.8,0.1,0.3,0.9,0.16434947,50000,0.03274237395779275
0.6,0.2,0.1,0.6,0.1644993,50000,0.031988957544480556
0.9,0.3,0.1,0.7,0.16453362,50000,0.03142482637908119
0.8,0.2,0.1,0.5,0.1646634,50000,0.03141937717935924
0.7,0.3,0.1,0.9,0.16471052,50000,0.031693982996806085
0.4,0.1,0.1,0.4,0.1650148,50000,0.032532231210854315
0.8,0.2,0.2,0.8,0.1650148,50000,0.032532231210854315
0.5,0.2,0.1,0.9,0.16502818,50000,0.031548805161668705
0.7,0.2,0.1,0.5,0.16512501,50000,0.031718709209795755
0.9,0.1,0.2,0.5,0.1652717,50000,0.03215672415491298
0.6,0.1,0.2,0.6,0.16535449,50000,0.03281986870628874
0.9,0.2,0.2,0.7,0.16537514,50000,0.032412985658754126
0.5,0.2,0.1,0.8,0.16543375,50000,0.03177790948231968
0.7,0.3,0.1,0.8,0.16543534,50000,0.03181601684016721
0.8,0.1,0.3,0.8,0.1654799,50000,0.03290212142650895
0.8,0.1,0.2,0.5,0.1655156,50000,0.032450666216158795
0.9,0.1,0.3,0.7,0.16555768,50000,0.03288913961314498
0.8,0.3,0.1,0.7,0.16568209,50000,0.03165007816841314
0.5,0.2,0.1,0.7,0.16569957,50000,0.032008241519992334
0.5,0.1,0.2,0.9,0.16585271,50000,0.03209776996061817
0.7,0.1,0.2,0.5,0.1659944,50000,0.032737678855498296
0.7,0.1,0.3,0.9,0.16600245,50000,0.03279634109681695
0.9,0.4,0.1,0.9,0.16602466,50000,0.031573815860591305
0.7,0.2,0.2,0.9,0.16603768,50000,0.032507429855538776
0.9,0.3,0.1,0.6,0.16627961,50000,0.03136417868504979
0.6,0.2,0.1,0.5,0.16629514,50000,0.03204054554388072
0.5,0.1,0.2,0.8,0.16629627,50000,0.03240662070538313
0.8,0.2,0.2,0.7,0.1663599,50000,0.03263468315315677
0.8,0.1,0.3,0.7,0.16640323,50000,0.03304617484880501
0.7,0.1,0.1,0.3,0.16652466,50000,0.03120968606829327
0.5,0.1,0.2,0.7,0.16663784,50000,0.03271366582782024
0.6,0.1,0.1,0.3,0.16664392,50000,0.031675043198612106
0.7,0.3,0.1,0.7,0.16664606,50000,0.03188937505883934
0.8,0.1,0.1,0.3,0.16670215,50000,0.030762837763368828
0.5,0.2,0.1,0.6,0.16670306,50000,0.03222117104750017
0.7,0.2,0.2,0.8,0.16672742,50000,0.032683329588492925
0.8,0.4,0.1,0.9,0.16679189,50000,0.031731788826407065
0.6,0.3,0.1,0.9,0.16684657,50000,0.03180586434713341
0.5,0.1,0.1,0.3,0.16688439,50000,0.032177507703808256
0.9,0.4,0.1,0.8,0.16689605,50000,0.031574595064174295
0.9,0.3,0.2,0.9,0.16691819,50000,0.03245724802022706
