w1,w2,w3,w4,score,n_selected,threshold
0.3,0.5,0.8,0.8,0.13749859,50000,0.037260181821295604
0.2,0.6,0.8,0.7,0.13757032,50000,0.037698853312539124
0.2,0.5,0.7,0.8,0.13757041,50000,0.036959297822831624
0.2,0.4,0.7,0.7,0.13757458,50000,0.036985579522555385
0.2,0.5,0.7,0.6,0.13757767,50000,0.03774343947035544
0.2,0.6,0.8,0.9,0.1375862,50000,0.037027738481596004
0.3,0.5,0.8,0.9,0.13758631,50000,0.03691140466079149
0.3,0.6,0.9,0.9,0.13759644,50000,0.03730226184420173
0.1,0.2,0.3,0.3,0.13759644,50000,0.037302261844201726
0.2,0.4,0.6,0.6,0.13759644,50000,0.037302261844201726
0.2,0.5,0.7,0.7,0.13762286,50000,0.03733976457476609
0.2,0.3,0.6,0.8,0.13763942,50000,0.035909718808813475
0.3,0.7,0.9,0.9,0.13764733,50000,0.037521283206413555
0.3,0.5,0.9,0.9,0.13766226,50000,0.037019520160181695
0.3,0.4,0.7,0.9,0.13767406,50000,0.036417806637128666
0.2,0.7,0.9,0.9,0.13768098,50000,0.03736922933681999
0.1,0.3,0.4,0.4,0.13769631,50000,0.037368400086211964
0.2,0.6,0.8,0.8,0.13769631,50000,0.037368400086211964
0.2,0.6,0.9,0.9,0.1376968,50000,0.037127198821771276
0.1,0.3,0.5,0.4,0.13770157,50000,0.037471724061766055
0.2,0.3,0.5,0.5,0.13770482,50000,0.03722070480939185
0.3,0.4,0.7,0.8,0.13770804,50000,0.036793326840720064
0.3,0.6,0.8,0.9,0.13771139,50000,0.037170861811784466
0.2,0.4,0.6,0.7,0.13771223,50000,0.03685762798664323
0.2,0.5,0.8,0.7,0.13772476,50000,0.037422422294502475
0.2,0.5,0.8,0.8,0.1377285,50000,0.03707072913556844
0.2,0.7,0.9,0.8,0.1377344,50000,0.03767516313001656
0.3,0.4,0.7,0.7,0.13773456,50000,0.03718108442103055
0.3,0.7,0.9,0.8,0.13773859,50000,0.03780403231941146
0.2,0.3,0.5,0.6,0.13773966,50000,0.03668660902550967
0.2,0.5,0.7,0.9,0.1377478,50000,0.03656666731064155
0.2,0.3,0.6,0.7,0.13776019,50000,0.036368005531072556
0.2,0.6,0.9,0.8,0.13776162,50000,0.03744237045171623
0.1,0.2,0.3,0.4,0.1377646,50000,0.03640202333638575
0.2,0.4,0.6,0.8,0.1377646,50000,0.03640202333638575
0.1,0.5,0.7,0.6,0.13777147,50000,0.037471251049785465
0.2,0.5,0.6,0.7,0.137789,50000,0.037163643929117536
0.3,0.6,0.8,0.8,0.13779627,50000,0.03751528906416804
0.3,0.5,0.7,0.8,0.13779712,50000,0.03710366553457856
0.1,0.4,0.5,0.6,0.13780105,50000,0.03683952574110704
0.2,0.3,0.5,0.7,0.1378043,50000,0.036174463998455836
0.1,0.5,0.7,0.7,0.13780451,50000,0.03708365808912117
0.3,0.6,0.9,0.8,0.13780455,50000,0.03761908906123566
0.2,0.5,0.8,0.6,0.13780543,50000,0.037792065955644515
0.1,0.4,0.6,0.5,0.13780725,50000,0.037477818399820166
0.1,0.3,0.4,0.5,0.13781017,50000,0.03668692077465517
0.2,0.4,0.7,0.8,0.13781038,50000,0.03658866869781635
0.2,0.4,0.7,0.6,0.1378141,50000,0.037396026089470576
0.2,0.5,0.8,0.9,0.13781789,50000,0.036724314651769445
0.2,0.5,0.9,0.9,0.13783598,50000,0.036814570823288276
0.2,0.4,0.6,0.5,0.13784225,50000,0.037774914510534385
0.2,0.5,0.9,0.8,0.13786665,50000,0.03713411397459768
0.3,0.5,0.8,0.7,0.13788362,50000,0.03760835809564241
0.1,0.6,0.9,0.8,0.13788477,50000,0.037173579007106605
0.4,0.5,0.9,0.9,0.13788481,50000,0.03715765280998791
0.2,0.6,0.7,0.8,0.1378896,50000,0.03721019593934998
0.2,0.6,0.8,0.6,0.1378901,50000,0.03802625729722277
0.1,0.3,0.4,0.3,0.1378901,50000,0.03802625729722277
0.2,0.6,0.9,0.7,0.13789092,50000,0.037764426059291784
0.2,0.4,0.7,0.9,0.13789353,50000,0.036182914427994074
0.1,0.4,0.5,0.7,0.13789964,50000,0.03632980069544007
0.3,0.5,0.7,0.9,0.13791122,50000,0.036742904585977156
0.2,0.5,0.6,0.6,0.13792601,50000,0.037593284860155445
0.1,0.4,0.6,0.6,0.13792789,50000,0.03701347818380466
0.1,0.4,0.5,0.5,0.13792993,50000,0.0373703532958978
0.2,0.4,0.5,0.6,0.13793153,50000,0.037081598826170056
0.1,0.3,0.5,0.5,0.1379458,50000,0.036902945809652206
0.2,0.6,0.7,0.9,0.13794723,50000,0.03685049589007983
0.2,0.3,0.6,0.6,0.1379477,50000,0.036854524909424036
0.3,0.6,0.9,0.7,0.13795012,50000,0.037930096484805886
0.4,0.6,0.9,0.9,0.13795029,50000,0.03741237660800621
0.2,0.6,0.7,0.7,0.13795105,50000,0.03758044778230879
0.1,0.3,0.6,0.5,0.13795334,50000,0.036968145348591525
0.3,0.4,0.8,0.9,0.13795516,50000,0.036559308801973826
0.2,0.4,0.5,0.7,0.13795952,50000,0.03660540040241756
0.2,0.4,0.5,0.5,0.13796125,50000,0.03760293010954198
0.1,0.6,0.8,0.9,0.13796902,50000,0.03678822006265603
0.1,0.4,0.6,0.7,0.13797101,50000,0.03654275351468473
0.2,0.2,0.4,0.5,0.13797183,50000,0.03637559833390312
