w1,w2,w3,w4,score,n_selected,threshold
0.1,0.1,0.6,0.9,0.22505616,50000,0.03487705160217455
0.1,0.1,0.5,0.9,0.22512785,50000,0.034722273479935103
0.1,0.1,0.5,0.8,0.22525541,50000,0.03521072013521227
0.1,0.1,0.7,0.9,0.22526622,50000,0.03495776271088039
0.1,0.1,0.6,0.8,0.2254049,50000,0.035312418444015524
0.1,0.1,0.8,0.9,0.22567247,50000,0.03496238439752979
0.1,0.1,0.5,0.7,0.22579546,50000,0.03571770907643962
0.1,0.1,0.7,0.8,0.22587636,50000,0.03534115916428293
0.1,0.2,0.7,0.9,0.22589122,50000,0.03613109538776491
0.1,0.2,0.8,0.9,0.22593166,50000,0.03617234171736094
0.1,0.2,0.6,0.9,0.22594947,50000,0.03603642879427066
0.1,0.1,0.9,0.9,0.22603758,50000,0.03491250008451134
0.1,0.1,0.8,0.8,0.22626261,50000,0.035287487091392386
0.1,0.2,0.9,0.9,0.22627969,50000,0.03614663135862035
0.1,0.2,0.7,0.8,0.22643925,50000,0.036508705280831485
0.1,0.1,0.6,0.7,0.22650616,50000,0.035764711433719155
0.1,0.2,0.8,0.8,0.22655371,50000,0.03650487470400334
0.1,0.1,0.4,0.7,0.22659245,50000,0.03551149837195974
0.1,0.1,0.4,0.8,0.22667237,50000,0.034944276186739544
0.1,0.1,0.7,0.7,0.22670451,50000,0.0357106044931989
0.1,0.2,0.6,0.8,0.2268086,50000,0.03646343241342613
0.1,0.1,0.5,0.6,0.22694978,50000,0.036221999221347924
0.1,0.1,0.9,0.8,0.22699088,50000,0.035172549436177494
0.1,0.1,0.4,0.9,0.22702634,50000,0.03440076781826669
0.1,0.1,0.4,0.6,0.22703452,50000,0.03613624370618579
0.1,0.1,0.6,0.6,0.22706959,50000,0.03618813183399945
0.1,0.2,0.9,0.8,0.22707103,50000,0.036431024394642006
0.1,0.3,0.9,0.9,0.2271173,50000,0.0369183237332236
0.1,0.3,0.8,0.9,0.22713855,50000,0.036895555196779097
0.1,0.1,0.8,0.7,0.2272222,50000,0.035593645321282875
0.1,0.3,0.7,0.9,0.22738248,50000,0.036842312429305545
0.1,0.2,0.6,0.7,0.22742796,50000,0.03690787823067823
0.1,0.2,0.7,0.7,0.22756006,50000,0.03690951029635991
0.1,0.2,0.5,0.9,0.22757085,50000,0.03583791884141903
0.1,0.2,0.5,0.8,0.22766776,50000,0.036301432668535485
0.1,0.1,0.4,0.5,0.22777364,50000,0.03676831165102638
0.1,0.1,0.7,0.6,0.22779343,50000,0.036074809006304914
0.1,0.2,0.8,0.7,0.22780125,50000,0.03682994759903292
0.1,0.2,0.5,0.7,0.22804794,50000,0.0367955844851837
0.1,0.3,0.8,0.8,0.22809765,50000,0.0372124458435013
0.1,0.1,0.5,0.5,0.22821656,50000,0.036767896274415186
0.2,0.1,0.7,0.9,0.22824772,50000,0.03618715001752783
0.1,0.3,0.6,0.9,0.22827114,50000,0.036719300190025665
0.1,0.1,0.9,0.7,0.22829325,50000,0.03544626361293307
0.1,0.3,0.7,0.8,0.22830084,50000,0.037202665093369267
0.1,0.3,0.9,0.8,0.22830786,50000,0.03721058949876672
0.1,0.2,0.9,0.7,0.22832347,50000,0.03670456705652609
0.2,0.1,0.8,0.9,0.2285238,50000,0.036217630839746155
0.1,0.1,0.8,0.6,0.22866702,50000,0.03589531430012354
0.1,0.3,0.6,0.8,0.22869405,50000,0.03713070727500562
0.2,0.1,0.9,0.9,0.22870903,50000,0.03617445236432672
0.1,0.1,0.6,0.5,0.22872096,50000,0.036637181174153384
0.2,0.2,0.9,0.9,0.22875579,50000,0.037102329696763414
0.2,0.2,0.8,0.9,0.22878046,50000,0.037091252789546815
