w1,w2,w3,w4,score,n_selected,threshold
0.1,0.1,0.2,0.9,0.25248262,50000,0.034523135013464136
0.1,0.1,0.3,0.9,0.2538263,50000,0.035258067544086315
0.1,0.1,0.2,0.8,0.25395355,50000,0.035161758386491306
0.1,0.1,0.1,0.9,0.25534627,50000,0.03285821678977416
0.1,0.1,0.3,0.8,0.2558702,50000,0.03582098735364019
0.1,0.1,0.2,0.7,0.2560177,50000,0.03588196703327513
0.1,0.1,0.1,0.8,0.25604352,50000,0.03355167587747709
0.1,0.1,0.1,0.7,0.25729612,50000,0.03430959371428285
0.1,0.1,0.4,0.9,0.25764632,50000,0.0355565684869947
0.2,0.1,0.2,0.9,0.25790247,50000,0.03574931873747237
0.1,0.2,0.2,0.9,0.25811294,50000,0.03587030006416028
0.2,0.1,0.3,0.9,0.2583778,50000,0.036472463645586595
0.1,0.1,0.3,0.7,0.25852957,50000,0.03641095963754493
0.1,0.1,0.2,0.6,0.2586998,50000,0.03662026030239565
0.1,0.2,0.3,0.9,0.25903168,50000,0.036679715278494084
0.1,0.1,0.1,0.6,0.25906336,50000,0.03519361894611255
0.2,0.1,0.2,0.8,0.25967708,50000,0.03631644915852947
0.2,0.1,0.4,0.9,0.25975505,50000,0.03679754863746467
0.1,0.1,0.4,0.8,0.25976267,50000,0.03604103643430122
0.1,0.2,0.2,0.8,0.25980908,50000,0.03648963489111303
0.2,0.1,0.3,0.8,0.26052174,50000,0.037004822658425945
0.1,0.1,0.5,0.9,0.26097143,50000,0.03563948027289835
0.1,0.2,0.4,0.9,0.26125833,50000,0.03706552901692944
0.1,0.1,0.3,0.6,0.26140812,50000,0.03706667738003411
0.1,0.2,0.3,0.8,0.26143286,50000,0.03721756397724466
0.1,0.1,0.1,0.5,0.26154813,50000,0.03616351797007074
0.2,0.1,0.2,0.7,0.26193872,50000,0.03692361499920103
0.1,0.2,0.2,0.7,0.26219574,50000,0.03712589371567375
0.1,0.1,0.2,0.5,0.26237085,50000,0.0374229710353685
0.2,0.1,0.4,0.8,0.26254332,50000,0.03724120579177053
0.1,0.1,0.4,0.7,0.26263633,50000,0.03656956425559868
0.2,0.1,0.5,0.9,0.26264083,50000,0.03691497675163741
0.3,0.1,0.3,0.9,0.2629219,50000,0.03717703140338801
0.1,0.2,0.1,0.9,0.26299703,50000,0.03415960125443043
0.2,0.2,0.2,0.9,0.26315278,50000,0.03665850822220972
0.1,0.3,0.2,0.9,0.2631766,50000,0.036660408601970625
0.2,0.2,0.3,0.9,0.263195,50000,0.037449115705022684
0.3,0.1,0.2,0.9,0.26335242,50000,0.036422805222468456
0.1,0.1,0.5,0.8,0.26344734,50000,0.03605650964250826
0.2,0.1,0.1,0.9,0.2635017,50000,0.0341613705362361
0.2,0.1,0.3,0.7,0.26362607,50000,0.03752642951385754
0.1,0.1,0.6,0.9,0.26380348,50000,0.03558901645256847
0.1,0.3,0.3,0.9,0.26391143,50000,0.03752768242810751
0.3,0.1,0.4,0.9,0.2639514,50000,0.03755179511027131
0.1,0.2,0.1,0.8,0.26406366,50000,0.03480726253623218
0.1,0.2,0.4,0.8,0.26420718,50000,0.03752785854046826
0.2,0.1,0.1,0.8,0.2644401,50000,0.03478321412057591
0.1,0.2,0.5,0.9,0.2646189,50000,0.037173672889143854
0.2,0.1,0.2,0.6,0.2647514,50000,0.037586835137131264
0.2,0.2,0.4,0.9,0.2648582,50000,0.03782719646769378
0.1,0.2,0.3,0.7,0.2648627,50000,0.03776687984434696
0.3,0.1,0.3,0.8,0.26519877,50000,0.037644397843757504
0.1,0.2,0.1,0.7,0.26526725,50000,0.035499479676101585
0.1,0.1,0.1,0.4,0.26530892,50000,0.03716329427145564
0.2,0.2,0.2,0.8,0.26530892,50000,0.03716329427145564
0.3,0.1,0.2,0.8,0.26537105,50000,0.036938855375795755
0.1,0.3,0.2,0.8,0.2655791,50000,0.03719981714804438
0.3,0.1,0.5,0.9,0.26561186,50000,0.03768883385869988
0.2,0.2,0.3,0.8,0.265626,50000,0.03794384387591781
0.2,0.1,0.5,0.8,0.26578963,50000,0.03730304284093473
0.2,0.1,0.4,0.7,0.2659317,50000,0.03770448828373356
0.1,0.2,0.2,0.6,0.26597455,50000,0.03781900168347355
0.2,0.1,0.6,0.9,0.26607895,50000,0.036884894753806366
0.2,0.1,0.1,0.7,0.26614794,50000,0.03545652963507547
0.1,0.1,0.7,0.9,0.26634285,50000,0.03545585677278042
0.1,0.3,0.4,0.9,0.26641354,50000,0.03792283847933267
0.1,0.1,0.6,0.8,0.2666079,50000,0.03595296800799492
0.1,0.1,0.3,0.5,0.26664788,50000,0.037687035593080544
0.3,0.1,0.4,0.8,0.26674628,50000,0.03793354962409941
0.1,0.1,0.5,0.7,0.266798,50000,0.036464621246007065
0.2,0.2,0.5,0.9,0.2669188,50000,0.037997376127490975
0.1,0.3,0.3,0.8,0.26693952,50000,0.03799810445178718
0.1,0.1,0.4,0.6,0.2669637,50000,0.03707082579856476
0.3,0.2,0.3,0.9,0.26706213,50000,0.03788750145778138
0.3,0.1,0.2,0.7,0.2670919,50000,0.037454443991559824
0.4,0.1,0.3,0.9,0.2671266,50000,0.03757131384228872
0.2,0.1,0.3,0.6,0.2671615,50000,0.03805415252468909
0.1,0.2,0.1,0.6,0.26742363,50000,0.0362224205984681
0.2,0.3,0.3,0.9,0.26762,50000,0.03803401084495224
0.2,0.3,0.2,0.9,0.2677156,50000,0.037169252719115066
0.1,0.2,0.5,0.8,0.26774257,50000,0.037571673239567914
0.1,0.2,0.6,0.9,0.267753,50000,0.03717914744497543
0.1,0.2,0.4,0.7,0.26779774,50000,0.03798766162251774
0.2,0.2,0.2,0.7,0.26782537,50000,0.03772936250421354
0.1,0.4,0.2,0.9,0.26786926,50000,0.03705939256214841
0.2,0.2,0.4,0.8,0.26790524,50000,0.03824352606661173
0.1,0.1,0.2,0.4,0.26790524,50000,0.03824352606661173
0.3,0.2,0.2,0.9,0.2679134,50000,0.03710001117531288
0.3,0.1,0.3,0.7,0.2680482,50000,0.03811536239798706
0.2,0.1,0.1,0.6,0.2681345,50000,0.036171289067461844
0.1,0.3,0.2,0.7,0.2681536,50000,0.03774618451381874
0.1,0.4,0.3,0.9,0.26819798,50000,0.03799575362064897
0.4,0.1,0.4,0.9,0.26836658,50000,0.0380011265833726
0.3,0.2,0.4,0.9,0.2683997,50000,0.038321668655105716
0.2,0.1,0.7,0.9,0.26858547,50000,0.036799994212037404
0.3,0.1,0.6,0.9,0.26858723,50000,0.03770425295604464
0.1,0.1,0.8,0.9,0.26876327,50000,0.03529470042174049
0.1,0.3,0.5,0.9,0.26890466,50000,0.03812218605480702
0.2,0.1,0.2,0.5,0.26891893,50000,0.038257579115062626
0.1,0.2,0.3,0.6,0.26892644,50000,0.038341371085557074
0.4,0.1,0.2,0.9,0.26898804,50000,0.03680533525056708
0.3,0.1,0.5,0.8,0.26912257,50000,0.038046141501635884
0.2,0.1,0.6,0.8,0.26913136,50000,0.03723577532103276
0.1,0.3,0.1,0.9,0.26921803,50000,0.034860072483650945
0.4,0.1,0.5,0.9,0.26925915,50000,0.038170683119953065
0.2,0.2,0.3,0.7,0.26943,50000,0.038430741449701517
0.1,0.1,0.7,0.8,0.26943025,50000,0.035763659523283635
0.2,0.3,0.4,0.9,0.26951605,50000,0.03846747214242216
0.1,0.3,0.4,0.8,0.2696038,50000,0.038360341120063146
0.4,0.1,0.3,0.8,0.2696736,50000,0.038001717682543144
0.2,0.3,0.2,0.8,0.26979116,50000,0.037633959155250446
0.2,0.2,0.6,0.9,0.2698035,50000,0.037994990284766064
0.2,0.1,0.5,0.7,0.26982826,50000,0.03768014408772367
0.2,0.2,0.1,0.9,0.26990426,50000,0.03505989639278888
0.3,0.2,0.3,0.8,0.2700084,50000,0.03831404476881506
0.1,0.3,0.3,0.7,0.27001178,50000,0.03850301795678599
0.1,0.4,0.4,0.9,0.27008674,50000,0.03847165058279626
0.1,0.1,0.6,0.7,0.27010393,50000,0.03630019359626258
0.3,0.2,0.5,0.9,0.2701163,50000,0.038471395644660754
