TRUE_R0,TRUE_SIGMA,peak_R0,peak_sigma
1.8,0.975,1.5125628140703518,0.7547738693467336
1.8,0.975,1.8743718592964824,0.9195979899497488
1.8,0.975,1.5276381909547738,0.7065326633165829
1.8,0.975,1.7688442211055277,0.8994974874371859
1.8,0.975,1.7839195979899496,0.9477386934673369
1.8,0.975,1.678391959798995,0.9477386934673369
1.8,0.975,1.4974874371859297,0.5537688442211055
1.8,0.975,1.7386934673366834,0.8954773869346735
1.8,0.975,1.7386934673366834,0.9396984924623117
1.8,0.975,1.6633165829145728,0.8673366834170855
1.8,0.975,1.678391959798995,0.9678391959798995
1.8,0.975,1.7839195979899496,0.9115577889447237
1.8,0.975,1.7236180904522613,0.9195979899497488
1.8,0.975,1.9195979899497488,0.9718592964824122
1.8,0.975,1.6180904522613067,0.7708542713567841
1.8,0.975,1.814070351758794,0.9356783919597991
1.8,0.975,1.7989949748743719,0.9396984924623117
1.8,0.975,1.5879396984924623,0.7748743718592965
1.8,0.975,1.6180904522613067,0.9155778894472362
1.8,0.975,1.4673366834170853,0.6542713567839197
