TRUE_R0,TRUE_SIGMA,peak_R0,peak_sigma
1.8,0.94,1.8743718592964824,0.9155778894472362
1.8,0.94,1.6482412060301508,0.835175879396985
1.8,0.94,1.7989949748743719,0.9437185929648242
1.8,0.94,1.9195979899497488,0.9638190954773871
1.8,0.94,1.8894472361809045,0.8834170854271357
1.8,0.94,1.6180904522613067,0.762814070351759
1.8,0.94,1.6180904522613067,0.9115577889447237
1.8,0.94,1.8592964824120601,0.9356783919597991
1.8,0.94,1.7989949748743719,0.9437185929648242
1.8,0.94,1.6934673366834172,0.8432160804020101
1.8,0.94,1.6934673366834172,0.8030150753768845
1.8,0.94,1.4673366834170853,0.6301507537688442
1.8,0.94,1.814070351758794,0.9437185929648242
1.8,0.94,1.829145728643216,0.9035175879396986
1.8,0.94,1.7537688442211055,0.8512562814070352
1.8,0.94,1.7236180904522613,0.7869346733668343
1.8,0.94,1.3919597989949748,0.5055276381909548
1.8,0.94,1.7236180904522613,0.9396984924623117
1.8,0.94,1.708542713567839,0.9236180904522613
1.8,0.94,1.6934673366834172,0.8472361809045228
