w1,w2,w3,w4,score,n_selected,threshold
0.1,0.1,0.8,0.3,0.258461,50000,0.031838028583707455
0.1,0.1,0.9,0.3,0.2586976,50000,0.031405144266377166
0.1,0.1,0.9,0.4,0.25884208,50000,0.031459586493320105
0.1,0.2,0.9,0.5,0.25893322,50000,0.03258839599912109
0.1,0.2,0.9,0.6,0.2590209,50000,0.032452732561952774
0.1,0.2,0.9,0.4,0.2590891,50000,0.032697465313693254
0.1,0.3,0.9,0.7,0.25929385,50000,0.03299824283221559
0.1,0.2,0.8,0.5,0.2593363,50000,0.032855729479325996
0.1,0.2,0.8,0.6,0.2593393,50000,0.032661237182505964
0.1,0.2,0.9,0.7,0.2593404,50000,0.032274772414981515
0.1,0.1,0.8,0.4,0.25939462,50000,0.03179592451972166
0.1,0.1,0.7,0.3,0.25941402,50000,0.03225634726076503
0.1,0.3,0.9,0.5,0.25953493,50000,0.03332373955522367
0.1,0.2,0.8,0.4,0.2595417,50000,0.03300728057345661
0.1,0.2,0.9,0.3,0.2595523,50000,0.03267082931364379
0.1,0.2,0.7,0.4,0.2595691,50000,0.03331858203958602
0.1,0.1,0.9,0.5,0.25966096,50000,0.031383681832272484
0.1,0.2,0.7,0.5,0.2597686,50000,0.0331009984861887
0.1,0.3,0.9,0.6,0.25995728,50000,0.03318498850374312
0.1,0.1,0.7,0.4,0.26007277,50000,0.03215954706469195
0.1,0.2,0.9,0.8,0.260074,50000,0.03206055115695807
0.1,0.1,0.8,0.2,0.2601725,50000,0.03168179363111051
0.1,0.1,0.9,0.6,0.26021904,50000,0.031261385560673295
0.1,0.1,0.6,0.3,0.2602321,50000,0.03269259533147853
0.1,0.2,0.8,0.3,0.26033908,50000,0.03305035177064688
0.1,0.1,0.9,0.2,0.26034826,50000,0.0311674447299044
0.1,0.1,0.8,0.5,0.26042923,50000,0.03167829516924336
0.1,0.1,0.7,0.2,0.26045412,50000,0.032194440091779936
0.1,0.2,0.8,0.7,0.2606308,50000,0.03242109050020997
0.1,0.1,0.6,0.4,0.2607096,50000,0.03250580065563883
0.1,0.3,0.9,0.8,0.2607262,50000,0.0327835809019619
0.1,0.2,0.7,0.6,0.2608266,50000,0.03283968207362834
0.1,0.2,0.7,0.3,0.2608626,50000,0.03340952723757935
0.1,0.3,0.8,0.6,0.26086822,50000,0.03332214232899943
0.1,0.3,0.8,0.7,0.26090956,50000,0.03310483632977889
0.1,0.3,0.9,0.4,0.26114598,50000,0.033400385350823146
0.1,0.3,0.8,0.8,0.26115453,50000,0.03285861376940214
0.1,0.3,0.8,0.5,0.2612557,50000,0.0335334309275123
