R0,sigma,avg_prev_obs,var_prev_obs,avg_npmi_obs,div_all_isolates_obs
0.0,0.0,9.565217391304348,7.06351758208409,-0.595276743372485,18.333333333333332
1.2,0.5,4.6521739130434785,4.291733021987249,-0.2474798705971905,4.305998481397115
1.4,0.5,8.73913043478261,4.750286032577865,-0.3424168146496098,5.960854092526691
1.6,0.5,25.782608695652176,14.035528042465309,-0.5099075345679944,10.779831726340355
1.8,0.5,34.56521739130435,17.824462472977775,-0.4336333626577431,12.530371605526442
2.0,0.5,45.26086956521739,23.150137229721572,-0.4456714114036425,14.315332945469931
2.2,0.5,52.08695652173913,27.457261075547045,-0.4207111071348397,14.25
2.4,0.5,62.21739130434783,31.192884564125038,-0.3679719904353028,18.03188114624088
2.6,0.5,68.43478260869566,33.91543773852916,-0.27554424454958776,19.18471051326556
2.8,0.5,74.1304347826087,37.35128615021307,-0.25460251035305775,19.68400655835445
3.0,0.5,80.17391304347827,39.019403301333234,-0.26173406431664886,19.653778091349658
1.2,0.6,2.5652173913043477,2.2120760910084147,-0.4015126221040024,4.183374083129585
1.4,0.6,11.0,6.082762530298219,-0.4309983066339771,6.626065267096238
1.6,0.6,15.695652173913043,9.24138312458346,-0.43987118519991086,7.161908960652485
1.8,0.6,21.782608695652176,11.571738777725711,-0.40012424889784265,7.771779597915115
2.0,0.6,33.78260869565217,16.544585826127616,-0.4316973767252824,10.658134766315492
2.2,0.6,42.69565217391305,20.073580064372937,-0.4457710312444357,13.124908035641297
2.4,0.6,54.47826086956522,27.3792714645378,-0.40651223152377297,15.34115668211778
2.6,0.6,59.391304347826086,28.741384686126196,-0.3831015011463712,14.991316792358777
2.8,0.6,70.26086956521739,34.919670662958524,-0.2436352435853894,20.54862685815067
3.0,0.6,73.17391304347827,37.14914923033298,-0.3109513447401279,19.621312520794056
1.2,0.7,2.782608695652174,2.173320077232704,-0.4058196272150588,3.536842105263158
1.4,0.7,9.956521739130435,6.116135595660542,-0.46342721061775566,6.398529411764706
1.6,0.7,18.0,10.483753665032907,-0.44571235488212424,9.924657534246576
1.8,0.7,22.52173913043478,12.547616815436927,-0.48389244761270667,10.61795258108001
2.0,0.7,27.391304347826086,15.358560332728816,-0.5493015214218473,8.897745643973415
2.2,0.7,39.43478260869565,21.57402918274344,-0.4936513552632444,11.905853375833091
2.4,0.7,44.17391304347826,23.003264934101388,-0.47556019478284994,13.539374524065856
2.6,0.7,46.95652173913044,24.43633334507816,-0.44530050836267077,14.501605316209961
2.8,0.7,52.47826086956522,26.02598276062071,-0.43298619676293093,17.40657211871906
