TRUE_R0,TRUE_SIGMA,peak_R0,peak_sigma
3.0,0.94,3.201005025125628,0.955778894472362
3.0,0.94,2.6130653266331656,0.8994974874371859
3.0,0.94,3.2613065326633164,0.9437185929648242
3.0,0.94,2.9748743718592965,0.9195979899497488
3.0,0.94,3.1557788944723617,0.9316582914572866
3.0,0.94,2.2361809045226133,0.8874371859296484
3.0,0.94,2.2964824120603016,0.8753768844221106
3.0,0.94,3.3969849246231156,0.9396984924623117
3.0,0.94,2.9447236180904524,0.9638190954773871
3.0,0.94,3.020100502512563,0.9597989949748744
3.0,0.94,2.92964824120603,0.9718592964824122
3.0,0.94,2.899497487437186,0.9597989949748744
3.0,0.94,2.64321608040201,0.8994974874371859
3.0,0.94,2.8542713567839195,0.955778894472362
3.0,0.94,2.477386934673367,0.9155778894472362
3.0,0.94,2.8241206030150754,0.8954773869346735
3.0,0.94,2.507537688442211,0.8834170854271357
3.0,0.94,2.9748743718592965,0.9718592964824122
3.0,0.94,3.457286432160804,0.9678391959798995
3.0,0.94,3.2462311557788945,0.9155778894472362
