TRUE_R0,TRUE_SIGMA,peak_R0,peak_sigma
2.0,0.6,1.8592964824120601,0.5256281407035177
2.0,0.6,1.7688442211055277,0.4733668341708543
2.0,0.6,1.814070351758794,0.5055276381909548
2.0,0.6,2.115577889447236,0.6542713567839197
2.0,0.6,1.7989949748743719,0.44924623115577894
2.0,0.6,2.100502512562814,0.6261306532663318
2.0,0.6,2.3266331658291457,0.678391959798995
2.0,0.6,2.130653266331658,0.6301507537688442
2.0,0.6,1.6633165829145728,0.4371859296482412
2.0,0.6,2.0251256281407035,0.6020100502512563
2.0,0.6,2.1758793969849246,0.6180904522613067
2.0,0.6,1.8442211055276383,0.6100502512562815
2.0,0.6,1.9045226130653266,0.5175879396984925
2.0,0.6,1.7839195979899496,0.5015075376884423
2.0,0.6,1.979899497487437,0.6381909547738693
2.0,0.6,1.6633165829145728,0.42512562814070354
2.0,0.6,2.115577889447236,0.6623115577889448
2.0,0.6,1.7989949748743719,0.4733668341708543
2.0,0.6,2.4020100502512562,0.7708542713567841
2.0,0.6,1.8442211055276383,0.5256281407035177
