TRUE_R0,TRUE_SIGMA,peak_R0,peak_sigma
2.0,0.8,1.8743718592964824,0.7266331658291458
2.0,0.8,2.2814070351758793,0.9678391959798995
2.0,0.8,2.2211055276381906,0.7708542713567841
2.0,0.8,2.130653266331658,0.9155778894472362
2.0,0.8,1.964824120603015,0.7829145728643216
2.0,0.8,2.1457286432160805,0.8190954773869348
2.0,0.8,2.2211055276381906,0.9396984924623117
2.0,0.8,2.0552763819095476,0.7869346733668343
2.0,0.8,2.3718592964824117,0.8954773869346735
2.0,0.8,1.964824120603015,0.7467336683417085
2.0,0.8,1.7236180904522613,0.642211055276382
2.0,0.8,2.2814070351758793,0.8753768844221106
2.0,0.8,1.7989949748743719,0.6542713567839197
2.0,0.8,1.7688442211055277,0.6381909547738693
2.0,0.8,1.7688442211055277,0.6462311557788945
2.0,0.8,1.8442211055276383,0.678391959798995
2.0,0.8,1.6482412060301508,0.5296482412060302
2.0,0.8,2.0251256281407035,0.9035175879396986
2.0,0.8,2.115577889447236,0.7668341708542714
2.0,0.8,2.3266331658291457,0.9396984924623117
