w1,w2,w3,w4,score,n_selected,threshold
0.9,0.7,0.1,0.9,0.10306798,50000,0.027384325408282787
0.9,0.9,0.1,0.9,0.103084534,50000,0.02725010544030121
0.8,0.7,0.1,0.9,0.10308764,50000,0.027551550437441563
0.8,0.8,0.1,0.9,0.1031128,50000,0.02748313870313592
0.9,0.6,0.1,0.9,0.10312717,50000,0.027430905532834875
0.7,0.8,0.1,0.9,0.1031364,50000,0.027658803588475427
0.9,0.8,0.1,0.9,0.10314248,50000,0.02731711094258083
0.7,0.7,0.1,0.9,0.10314497,50000,0.027735690489639187
0.9,0.5,0.1,0.9,0.10315104,50000,0.02747974309927371
0.7,0.9,0.1,0.9,0.103154816,50000,0.027564514065458103
0.8,0.6,0.1,0.9,0.10315846,50000,0.027617281184008403
0.7,0.6,0.1,0.9,0.10317593,50000,0.027792294519712882
0.8,0.5,0.1,0.9,0.103189275,50000,0.02766654667874438
0.8,0.9,0.1,0.9,0.10322521,50000,0.027412558945481114
0.9,0.4,0.1,0.9,0.10325036,50000,0.027520502232318878
0.6,0.9,0.1,0.9,0.10326679,50000,0.027728541483161756
0.9,0.7,0.1,0.8,0.10328939,50000,0.027456369922392518
0.6,0.8,0.1,0.9,0.10329259,50000,0.02783042973712631
0.7,0.8,0.1,0.8,0.10331792,50000,0.027743510799207335
0.8,0.5,0.1,0.8,0.10332364,50000,0.027784604043252586
0.9,0.5,0.1,0.8,0.1033303,50000,0.02758804704533085
0.8,0.7,0.1,0.8,0.10333431,50000,0.027651212158297824
0.9,0.9,0.1,0.8,0.1033387,50000,0.027279734849922407
0.6,0.8,0.1,0.8,0.103343464,50000,0.02792937516609069
0.9,0.8,0.1,0.8,0.10335164,50000,0.02735998736741627
0.9,0.3,0.1,0.9,0.10335553,50000,0.027523688628882267
0.5,0.9,0.1,0.9,0.10335821,50000,0.02791518529883596
0.8,0.6,0.1,0.8,0.103358656,50000,0.027725408829407657
0.8,0.9,0.1,0.8,0.10337145,50000,0.02745674957081479
0.6,0.6,0.1,0.9,0.10337152,50000,0.02796432100182863
0.7,0.9,0.1,0.8,0.10337951,50000,0.0276448442962403
0.9,0.6,0.1,0.8,0.103379816,50000,0.02752005531906736
0.6,0.9,0.1,0.8,0.10339013,50000,0.0278261154114939
0.8,0.4,0.1,0.9,0.103390925,50000,0.027695995582808688
0.8,0.8,0.1,0.8,0.10339973,50000,0.02756221306117766
0.5,0.8,0.1,0.9,0.10340363,50000,0.028002111430111436
0.7,0.6,0.1,0.8,0.10341426,50000,0.027923179886258524
0.7,0.5,0.1,0.9,0.103415824,50000,0.027845342352669035
0.6,0.7,0.1,0.8,0.10342524,50000,0.02804710146331252
0.6,0.7,0.1,0.9,0.10342759,50000,0.027907799922146096
0.7,0.7,0.1,0.8,0.10344609,50000,0.027846251595665082
0.5,0.6,0.1,0.9,0.10346563,50000,0.02814520134734077
0.6,0.5,0.1,0.9,0.103469126,50000,0.028010088065378067
0.9,0.4,0.1,0.8,0.10347027,50000,0.027625285038550985
0.9,0.3,0.1,0.8,0.10348039,50000,0.027650739674311
0.7,0.5,0.1,0.8,0.103484794,50000,0.027976134250138732
0.6,0.6,0.1,0.8,0.10350522,50000,0.02812701780023691
0.5,0.8,0.1,0.8,0.10351099,50000,0.02813144741309289
0.4,0.9,0.1,0.9,0.103520505,50000,0.028085948127297203
0.9,0.2,0.1,0.8,0.10352631,50000,0.02761398346602639
0.5,0.7,0.1,0.9,0.10353258,50000,0.0280784546477544
0.8,0.4,0.1,0.8,0.1035326,50000,0.02781436953536527
0.8,0.4,0.1,0.7,0.10356611,50000,0.027941628173397126
0.8,0.3,0.1,0.9,0.10357095,50000,0.02768269314214268
0.9,0.4,0.1,0.7,0.10357101,50000,0.027734743471976516
0.6,0.5,0.1,0.8,0.10357156,50000,0.02817426414250281
0.8,0.3,0.1,0.8,0.103581965,50000,0.027844584761370753
0.7,0.4,0.1,0.7,0.103583135,50000,0.0281518522855683
0.5,0.9,0.1,0.8,0.10358585,50000,0.02800416741789129
0.9,0.6,0.1,0.7,0.10358608,50000,0.02759182407648881
0.7,0.4,0.1,0.8,0.103586674,50000,0.028024997190365407
0.4,0.9,0.1,0.8,0.103587575,50000,0.02820467369868265
0.9,0.2,0.1,0.9,0.10359318,50000,0.02746502723585658
0.5,0.7,0.1,0.8,0.10359376,50000,0.028228837714726732
0.9,0.2,0.1,0.7,0.10359721,50000,0.027756957520225348
0.7,0.5,0.1,0.7,0.10360267,50000,0.02811633659984773
0.8,0.2,0.1,0.7,0.10360965,50000,0.027953222281602352
0.5,0.6,0.1,0.8,0.10361646,50000,0.028310468178153317
0.9,0.5,0.1,0.7,0.103616886,50000,0.0276845163401906
0.6,0.4,0.1,0.7,0.10362543,50000,0.028387469890047576
0.6,0.4,0.1,0.8,0.10362691,50000,0.028219898663858347
0.6,0.6,0.1,0.7,0.10362845,50000,0.028246399678597458
0.6,0.5,0.1,0.7,0.103628755,50000,0.028319423886871704
0.9,0.3,0.1,0.7,0.10363964,50000,0.02775826572218548
0.7,0.4,0.1,0.9,0.103641756,50000,0.027866983103805396
0.8,0.3,0.1,0.7,0.10364402,50000,0.02798477351022774
0.4,0.7,0.1,0.9,0.10364477,50000,0.02824801972394213
0.8,0.2,0.1,0.8,0.10365108,50000,0.0278026248851061
0.6,0.7,0.1,0.7,0.103653535,50000,0.02815047403635743
0.7,0.3,0.1,0.6,0.10365676,50000,0.028367295119964584
0.7,0.7,0.1,0.7,0.1036606,50000,0.02793115151207171
0.4,0.8,0.1,0.9,0.10366319,50000,0.028179165713300917
0.7,0.4,0.1,0.6,0.10367125,50000,0.028311031650550343
0.8,0.4,0.1,0.6,0.10367635,50000,0.02806561480624757
0.7,0.3,0.1,0.8,0.10367841,50000,0.028042677542761747
0.7,0.6,0.1,0.7,0.10368844,50000,0.028039156361395593
0.5,0.5,0.1,0.8,0.10369361,50000,0.02836818286273022
0.4,0.8,0.1,0.8,0.103704095,50000,0.02833032003142551
0.8,0.6,0.1,0.7,0.10370471,50000,0.027814354722198842
0.9,0.1,0.1,0.7,0.10370551,50000,0.02771018674803412
0.8,0.5,0.1,0.7,0.10371633,50000,0.0278963440690132
